STATION,NAME,DATE,TMAX,TMIN,WESD,WESF
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",2022-01-27,64,47,,
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",2022-01-28,64,48,,
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",2022-01-29,62,47,,
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",2022-01-30,59,46,,
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",2022-01-31,60,48,,
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",2022-02-01,61,44,,
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",2022-02-02,62,52,,
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",2022-02-03,64,47,,
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",2022-02-04,62,47,,
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",2022-02-05,63,47,,
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",2022-02-06,65,45,,
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",2022-02-07,66,47,,
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",2022-02-08,72,48,,
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",2022-02-09,75,52,,
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",2022-02-10,76,54,,
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",2022-02-11,76,55,,
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",2022-02-12,74,55,,
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",2022-02-13,74,51,,
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",2022-02-14,53,49,,
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",2022-02-15,58,45,,
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",2022-02-16,65,49,,
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",2022-02-17,67,53,,
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",2022-02-18,66,49,,
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",2022-02-19,68,49,,
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",2022-02-20,55,48,,
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",2022-02-21,54,44,,
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",2022-02-22,50,43,,
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",2022-02-23,53,42,,
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",2022-02-24,55,41,,
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",2022-02-25,60,41,,
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",2022-02-26,59,44,,
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",2022-02-27,66,47,,
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",2022-02-28,70,49,,
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",2022-03-01,64,48,,
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",2022-03-02,65,50,,
